t,M,central_I,tau
25.0,165.55194585806765,1.0,21.975957421914053
25.25,165.57878101934108,1.0,21.983066179080726
25.5,165.60497169656932,1.0,21.99000532049722
25.75,165.63053673686278,1.0,21.996779759793004
26.0,165.6554943096901,1.0,22.00339423599022
26.25,165.67986193650785,1.0,22.009853321040243
26.5,165.7036565188488,1.0,22.016161426973294
26.75,165.72689436496273,1.0,22.022322812684415
27.0,165.74959121509545,1.0,22.028341590377
27.25,165.7717622654875,1.0,22.034221731684244
27.5,165.79342219116808,1.0,22.039967073487126
27.75,165.81458516761376,1.0,22.04558132344627
28.0,165.83526489133834,1.0,22.051068065264285
28.25,165.855474599475,1.0,22.05643076369368
28.5,165.87522708840743,1.0,22.06167276930459
28.75,165.89453473150468,1.0,22.06679732302593
29.0,165.91340949600874,1.0,22.071807560472227
29.25,165.93186295912238,1.0,22.07670651606798
29.5,165.9499063233418,1.0,22.081497126980736
29.75,165.96755043107345,1.0,22.08618223687273
30.0,165.9848057785763,1.0,22.090764599481354
30.25,166.00168252926352,1.0,22.095246882037117
30.5,166.018190526399,1.0,22.099631668527774
30.75,166.03433930522039,1.0,22.103921462816842
31.0,166.0501381045184,1.0,22.10811869162371
31.25,166.06559587770118,1.0,22.112225707372776
31.5,166.08072130336984,1.0,22.116244790918085
31.75,166.0955227954306,1.0,22.12017815414993
32.0,166.11000851276708,1.0,22.124027942489242
32.25,166.1241863684943,1.0,22.127796237275383
32.5,166.1380640388166,1.0,22.13148505805274
32.75,166.15164897150777,1.0,22.135096364760912
33.0,166.16494839403316,1.0,22.138632059833366
33.25,166.17796932133075,1.0,22.142093990208917
33.5,166.19071856326775,1.0,22.145483949260218
33.75,166.20320273178874,1.0,22.148803678643255
34.0,166.2154282477702,1.0,22.15205487007172
34.25,166.22740134759457,1.0,22.15523916701943
34.5,166.23912808945838,1.0,22.15835816635468
34.75,166.25061435942587,1.0,22.161413419909234
35.0,166.26186587724078,1.0,22.16440643598528
35.25,166.27288820190682,1.0,22.16733868080305
35.5,166.28368673704796,1.0,22.170211579891763
35.75,166.29426673605843,1.0,22.17302651942668
36.0,166.3046333070521,1.0,22.17578484751445
36.25,166.31479141761997,1.0,22.178487875429152
36.5,166.32474589940477,1.0,22.181136878801254
36.75,166.33450145250066,1.0,22.183733098761557
37.0,166.34406264968567,1.0,22.18627774304204
37.25,166.35343394049423,1.0,22.1887719870355
37.5,166.36261965513717,1.0,22.191216974815866
37.75,166.37162400827526,1.0,22.19361382012073
38.0,166.38045110265278,1.0,22.19596360729779
38.25,166.38910493259743,1.0,22.19826739221674
38.5,166.39758938739197,1.0,22.200526203148083
38.75,166.4059082545229,1.0,22.202741041610157
39.0,166.41406522281184,1.0,22.20491288318582
39.25,166.42206388543406,1.0,22.207042678309996
39.5,166.42990774282885,1.0,22.209131353029218
39.75,166.43760020550675,1.0,22.21117980973448
40.0,166.4451445967572,1.0,22.213188927868327
40.25,166.45254415526094,1.0,22.215159564607276
40.5,166.45980203761135,1.0,22.21709255552061
40.75,166.46692132074773,1.0,22.218988715206414
41.0,166.47390500430475,1.0,22.220848837905827
41.25,166.48075601288093,1.0,22.222673698096315
41.5,166.48747719822944,1.0,22.224464051064775
41.75,166.4940713413747,1.0,22.22622063346142
42.0,166.50054115465707,1.0,22.227944163834927
42.25,166.50688928370866,1.0,22.229635343149774
42.5,166.5131183093635,1.0,22.23129485528647
42.75,166.51923074950358,1.0,22.232923367525135
43.0,166.52522906084374,1.0,22.234521531013183
43.25,166.5311156406583,1.0,22.236089981217848
43.5,166.53689282845048,1.0,22.237629338363842
43.75,166.5425629075677,1.0,22.23914020785692
44.0,166.54812810676435,1.0,22.240623180693753
44.25,166.55359060171415,1.0,22.242078833858727
44.5,166.55895251647394,1.0,22.243507730708018
44.75,166.56421592490062,1.0,22.244910421341537
45.0,166.5693828520232,1.0,22.24628744296311
45.25,166.57445527537115,1.0,22.2476393202293
45.5,166.5794351262612,1.0,22.24896656558741
45.75,166.58432429104354,1.0,22.250269679602848
46.0,166.58912461230955,1.0,22.251549151276482
46.25,166.59383789006154,1.0,22.252805458352086
46.5,166.59846588284668,1.0,22.25403906761443
46.75,166.6030103088561,1.0,22.255250435178255
47.0,166.6074728469902,1.0,22.25644000676846
47.25,166.61185513789138,1.0,22.257608217991766
47.5,166.616158784946,1.0,22.258755494600273
47.75,166.62038535525545,1.0,22.25988225274706
48.0,166.62453638057835,1.0,22.260988899234142
48.25,166.62861335824488,1.0,22.262075831753172
48.5,166.63261775204307,1.0,22.263143439118803
48.75,166.63655099307982,1.0,22.264192101495436
49.0,166.64041448061573,1.0,22.265222190617127
49.25,166.6442095828757,1.0,22.266234070001122
49.5,166.64793763783592,1.0,22.267228095155243
49.75,166.6515999539879,1.0,22.268204613779215
50.0,166.65519781108006,1.0,22.269163965960182
50.25,166.6587324608383,1.0,22.27010648436263
50.5,166.66220512766574,1.0,22.271032494412907
50.75,166.66561700932226,1.0,22.271942314478473
51.0,166.66896927758478,1.0,22.272836256041998
51.25,166.672263078889,1.0,22.27371462387071
51.5,166.67549953495256,1.0,22.27457771618078
51.75,166.6786797433811,1.0,22.275425824797285
52.0,166.68180477825717,1.0,22.27625923530963
52.25,166.68487569071237,1.0,22.27707822722259
52.5,166.68789350948418,1.0,22.27788307410331
52.75,166.69085924145696,1.0,22.278674043724177
53.0,166.6937738721881,1.0,22.279451398201747
53.25,166.6966383664198,1.0,22.28021539413195
53.5,166.69945366857667,1.0,22.280966282721554
53.75,166.70222070325013,1.0,22.281704309916098
54.0,166.70494037566897,1.0,22.28242971652428
54.25,166.70761357215815,1.0,22.283142738339208
54.5,166.71024116058433,1.0,22.283843606256152
54.75,166.7128239907899,1.0,22.284532546387275
55.0,166.7153628950154,1.0,22.285209780173346
55.25,166.7178586883105,1.0,22.28587552449238
55.5,166.7203121689343,1.0,22.286529991765523
55.75,166.72272411874482,1.0,22.28717339006008
56.0,166.7250953035783,1.0,22.28780592318982
56.25,166.7274264736189,1.0,22.288427790812797
56.5,166.7297183637578,1.0,22.2890391885264
56.75,166.73197169394416,1.0,22.28964030796016
57.0,166.73418716952605,1.0,22.29023133686604
57.25,166.73636548158288,1.0,22.29081245920639
57.5,166.73850730724934,1.0,22.291383855239715
57.75,166.74061331003094,1.0,22.291945701604217
58.0,166.74268414011124,1.0,22.292498171399124
58.25,166.74472043465187,1.0,22.29304143426417
58.5,166.7467228180842,1.0,22.293575656456806
58.75,166.74869190239394,1.0,22.2941010009276
59.0,166.7506282873988,1.0,22.294617627393798
59.25,166.75253256101865,1.0,22.29512569241087
59.5,166.75440529953943,1.0,22.295625349442453
59.75,166.75624706787002,1.0,22.29611674892841
60.0,166.75805841979292,1.0,22.296600038351258
60.25,166.75983989820884,1.0,22.297075362300998
60.5,166.76159203537503,1.0,22.29754286253829
60.75,166.7633153531376,1.0,22.29800267805602
61.0,166.76501036315875,1.0,22.29845494513956
61.25,166.7666775671375,1.0,22.298899797425282
61.5,166.76831745702594,1.0,22.29933736595791
61.75,166.7699305152397,1.0,22.299767779246306
62.0,166.7715172148632,1.0,22.30019116331793
62.25,166.77307801985052,1.0,22.300607641772118
62.5,166.7746133852209,1.0,22.301017335831922
62.75,166.77612375724965,1.0,22.30142036439476
63.0,166.7776095736546,1.0,22.30181684408189
63.25,166.77907126377812,1.0,22.302206889286705
63.5,166.7805092487646,1.0,22.302590612221803
63.75,166.78192394173388,1.0,22.302968122965048
64.0,166.7833157479506,1.0,22.303339529504473
64.25,166.7846850649895,1.0,22.303704937782186
64.5,166.7860322828966,1.0,22.30406445173714
64.75,166.78735778434708,1.0,22.30441817334704
65.0,166.78866194479912,1.0,22.30476620266919
65.25,166.7899451326442,1.0,22.30510863788037
65.5,166.79120770935396,1.0,22.305445575315886
65.75,166.7924500296237,1.0,22.305777109507616
66.0,166.79367244151243,1.0,22.306103333221234
66.25,166.79487528657972,1.0,22.306424337492547
66.5,166.79605890001957,1.0,22.30674021166304
66.75,166.79722361079106,1.0,22.307051043414592
67.0,166.79836974174594,1.0,22.307356918803354
67.25,166.79949760975347,1.0,22.307657922292925
67.5,166.80060752582247,1.0,22.307954136786773
67.75,166.80169979522026,1.0,22.308245643659827
68.0,166.80277471758956,1.0,22.308532522789548
68.25,166.80383258706172,1.0,22.30881485258601
68.5,166.8048736923687,1.0,22.30909271002166
68.75,166.80589831695139,1.0,22.309366170660102
69.0,166.80690673906622,1.0,22.30963530868443
69.25,166.8078992318891,1.0,22.30990019692486
69.5,166.80887606361705,1.0,22.310160906885724
69.75,166.8098374975677,1.0,22.31041750877196
70.0,166.8107837922766,1.0,22.31067007151492
70.25,166.81171520159205,1.0,22.310918662797647
70.5,166.81263197476838,1.0,22.311163349079617
70.75,166.81353435655672,1.0,22.311404195620906
71.0,166.81442258729396,1.0,22.311641266505834
71.25,166.81529690298993,1.0,22.311874624666146
71.5,166.8161575354124,1.0,22.312104331903623
71.75,166.81700471217022,1.0,22.312330448912178
72.0,166.81783865679506,1.0,22.31255303529961
72.25,166.8186595888209,1.0,22.31277214960873
72.5,166.81946772386215,1.0,22.31298784933815
72.75,166.82026327368987,1.0,22.313200190962565
73.0,166.82104644630647,1.0,22.313409229952594
73.25,166.8218174460187,1.0,22.313615020794238
73.5,166.8225764735094,1.0,22.313817617007913
73.75,166.82332372590713,1.0,22.31401707116705
74.0,166.824059396855,1.0,22.314213434916326
74.25,166.8247836765774,1.0,22.314406758989477
74.5,166.825496751946,1.0,22.314597093226837
74.75,166.82619880654366,1.0,22.314784486592345
75.0,166.8268900207274,1.0,22.3149689871903
75.25,166.82757057169007,1.0,22.315150642281786
75.5,166.82824063352055,1.0,22.31532949830067
75.75,166.8289003772628,1.0,22.315505600869347
76.0,166.82954997097352,1.0,22.31567899481404
76.25,166.8301895797789,1.0,22.315849724179976
76.5,166.8308193659299,1.0,22.316017832246025
76.75,166.8314394888567,1.0,22.31618336153924
77.0,166.83205010522136,1.0,22.316346353848875
77.25,166.83265136897057,1.0,22.316506850240383
77.5,166.83324343138594,1.0,22.316664891068868
77.75,166.83382644113445,1.0,22.316820515992458
78.0,166.83440054431685,1.0,22.316973763985242
78.25,166.83496588451595,1.0,22.317124673350083
78.5,166.8355226028434,1.0,22.3172732817311
78.75,166.83607083798557,1.0,22.317419626125872
79.0,166.8366107262488,1.0,22.317563742897505
79.25,166.83714240160324,1.0,22.317705667786274
79.5,166.83766599572624,1.0,22.31784543592121
79.75,166.83818163804457,1.0,22.317983081831326
80.0,166.8386894557762,1.0,22.31811863945675
80.25,166.83918957397063,1.0,22.31825214215945
80.5,166.83968211554887,1.0,22.31838362273392
80.75,166.84016720134252,1.0,22.318513113417545
81.0,166.84064495013195,1.0,22.318640645900793
81.25,166.84111547868397,1.0,22.31876625133725
81.5,166.8415789017883,1.0,22.318889960353324
81.75,166.84203533229393,1.0,22.319011803057933
82.0,166.84248488114412,1.0,22.319131809051843
82.25,166.84292765741122,1.0,22.319250007436928
82.5,166.84336376833062,1.0,22.319366426825198
82.75,166.84379331933366,1.0,22.319481095347623
83.0,166.84421641408085,1.0,22.319594040662917
83.25,166.84463315449318,1.0,22.319705289965924
83.5,166.8450436407839,1.0,22.31981486999607
83.75,166.84544797148914,1.0,22.31992280704551
84.0,166.84584624349787,1.0,22.32002912696715
84.25,166.8462385520817,1.0,22.320133855182526
84.5,166.8466249909236,1.0,22.320237016689514
84.75,166.8470056521465,1.0,22.320338636069923
85.0,166.84738062634102,1.0,22.320438737496897
85.25,166.84775000259276,1.0,22.320537344742156
85.5,166.84811386850924,1.0,22.320634481183223
85.75,166.84847231024602,1.0,22.320730169810346
86.0,166.8488254125325,1.0,22.320824433233405
86.25,166.8491732586972,1.0,22.320917293688606
86.5,166.84951593069246,1.0,22.32100877304512
86.75,166.8498535091191,1.0,22.3210988928116
87.0,166.85018607324963,1.0,22.321187674142422
87.25,166.85051370105234,1.0,22.321275137844044
87.5,166.8508364692137,1.0,22.32136130438104
87.75,166.8511544531612,1.0,22.321446193882128
88.0,166.85146772708515,1.0,22.32152982614603
88.25,166.85177636396077,1.0,22.321612220647342
88.5,166.85208043556898,1.0,22.321693396542067
88.75,166.85238001251759,1.0,22.321773372673267
89.0,166.85267516426146,1.0,22.32185216757644
89.25,166.8529659591229,1.0,22.321929799484984
89.5,166.85325246431125,1.0,22.322006286335355
89.75,166.853534745942,1.0,22.322081645772222
90.0,166.85381286905613,1.0,22.3221558951536
90.25,166.8540868976383,1.0,22.322229051555706
90.5,166.85435689463563,1.0,22.32230113177795
90.75,166.85462292197514,1.0,22.32237215234761
91.0,166.85488504058162,1.0,22.322442129524568
91.25,166.85514331039485,1.0,22.322511079305926
91.5,166.8553977903864,1.0,22.32257901743047
91.75,166.8556485385766,1.0,22.3226459593832
92.0,166.85589561205046,1.0,22.322711920399588
92.25,166.85613906697404,1.0,22.322776915469905
92.5,166.85637895860995,1.0,22.322840959343406
92.75,166.85661534133283,1.0,22.322904066532406
93.0,166.85684826864465,1.0,22.322966251316405
93.25,166.85707779318955,1.0,22.323027527746007
93.5,166.8573039667681,1.0,22.323087909646752
93.75,166.8575268403523,1.0,22.323147410623115
94.0,166.8577464640991,1.0,22.323206044062065
94.25,166.85796288736444,1.0,22.323263823136873
94.5,166.85817615871676,1.0,22.323320760810685
