t,M
603.0,149.97319521825276
604.0,149.97315075791974
605.0,149.97310629756035
606.0,149.9730618371746
607.0,149.9730173767625
608.0,149.97297291632404
609.0,149.9729284558592
610.0,149.97288399536802
611.0,149.97283953485046
612.0,149.97279507430656
613.0,149.97275061373628
614.0,149.97270615313965
615.0,149.97266169251665
616.0,149.9726172318673
617.0,149.97257277119158
618.0,149.9725283104895
619.0,149.97248384976106
620.0,149.97243938900627
621.0,149.9723949282251
622.0,149.97235046741758
623.0,149.9723060065837
624.0,149.97226154572346
625.0,149.97221708483684
626.0,149.97217262392388
627.0,149.97212816298455
628.0,149.97208370201886
629.0,149.9720392410268
630.0,149.9719947800084
631.0,149.97195031896362
632.0,149.97190585789247
633.0,149.97186139679496
634.0,149.9718169356711
635.0,149.97177247452086
636.0,149.97172801334426
637.0,149.97168355214131
638.0,149.971639090912
639.0,149.97159462965632
640.0,149.97155016837428
641.0,149.9715057070659
642.0,149.97146124573112
643.0,149.97141678437
644.0,149.97137232298252
645.0,149.97132786156865
646.0,149.97128340012844
647.0,149.97123893866186
648.0,149.97119447716892
649.0,149.9711500156496
650.0,149.97110555410396
651.0,149.97106109253193
652.0,149.97101663093355
653.0,149.9709721693088
654.0,149.97092770765767
655.0,149.9708832459802
656.0,149.97083878427634
657.0,149.97079432254614
658.0,149.97074986078957
659.0,149.97070539900665
660.0,149.97066093719735
661.0,149.97061647536168
662.0,149.97057201349966
663.0,149.97052755161127
664.0,149.97048308969653
665.0,149.9704386277554
666.0,149.97039416578795
667.0,149.9703497037941
668.0,149.9703052417739
669.0,149.97026077972734
670.0,149.9702163176544
671.0,149.97017185555512
672.0,149.97012739342946
673.0,149.97008293127743
674.0,149.97003846909905
675.0,149.9699940068943
676.0,149.9699495446632
677.0,149.96990508240572
678.0,149.9698606201219
679.0,149.9698161578117
680.0,149.96977169547512
681.0,149.9697272331122
682.0,149.9696827707229
683.0,149.96963830830725
684.0,149.96959384586523
685.0,149.96954938339684
686.0,149.9695049209021
687.0,149.96946045838098
688.0,149.9694159958335
689.0,149.96937153325965
690.0,149.96932707065943
691.0,149.96928260803287
692.0,149.96923814537993
693.0,149.96919368270062
694.0,149.96914921999496
695.0,149.96910475726293
696.0,149.96906029450454
697.0,149.9690158317198
698.0,149.96897136890865
699.0,149.96892690607118
700.0,149.96888244320732
701.0,149.9688379803171
702.0,149.9687935174005
703.0,149.96874905445756
704.0,149.96870459148826
705.0,149.9686601284926
706.0,149.96861566547054
707.0,149.96857120242214
708.0,149.96852673934737
709.0,149.96848227624622
710.0,149.96843781311873
711.0,149.96839334996486
712.0,149.9683488867846
713.0,149.96830442357802
714.0,149.96825996034505
715.0,149.96821549708574
716.0,149.96817103380005
717.0,149.96812657048798
718.0,149.96808210714957
719.0,149.96803764378478
720.0,149.96799318039362
721.0,149.9679487169761
722.0,149.96790425353223
723.0,149.96785979006196
724.0,149.96781532656536
725.0,149.96777086304238
726.0,149.96772639949302
727.0,149.9676819359173
728.0,149.96763747231523
729.0,149.96759300868678
730.0,149.96754854503197
731.0,149.9675040813508
732.0,149.96745961764324
733.0,149.96741515390934
734.0,149.96737069014907
735.0,149.96732622636242
736.0,149.96728176254942
737.0,149.96723729871005
738.0,149.9671928348443
739.0,149.9671483709522
740.0,149.96710390703373
741.0,149.96705944308889
742.0,149.9670149791177
743.0,149.96697051512012
744.0,149.96692605109618
745.0,149.96688158704586
746.0,149.9668371229692
747.0,149.96679265886615
748.0,149.96674819473674
749.0,149.96670373058097
750.0,149.96665926639884
751.0,149.96661480219032
752.0,149.96657033795546
753.0,149.96652587369422
754.0,149.9664814094066
755.0,149.96643694509265
756.0,149.96639248075232
757.0,149.9663480163856
758.0,149.96630355199252
759.0,149.9662590875731
760.0,149.96621462312729
761.0,149.9661701586551
762.0,149.96612569415657
763.0,149.96608122963167
764.0,149.9660367650804
765.0,149.96599230050273
766.0,149.96594783589873
767.0,149.96590337126835
768.0,149.9658589066116
769.0,149.9658144419285
770.0,149.96576997721903
771.0,149.96572551248317
772.0,149.96568104772095
773.0,149.96563658293238
774.0,149.96559211811743
775.0,149.9655476532761
776.0,149.9655031884084
777.0,149.96545872351436
778.0,149.96541425859394
779.0,149.96536979364714
780.0,149.965325328674
781.0,149.96528086367448
782.0,149.96523639864859
783.0,149.96519193359632
784.0,149.9651474685177
785.0,149.9651030034127
786.0,149.96505853828134
787.0,149.9650140731236
788.0,149.9649696079395
789.0,149.96492514272904
790.0,149.9648806774922
791.0,149.964836212229
792.0,149.96479174693943
793.0,149.9647472816235
794.0,149.96470281628118
795.0,149.9646583509125
796.0,149.96461388551745
797.0,149.96456942009604
798.0,149.96452495464825
799.0,149.9644804891741
800.0,149.96443602367358
801.0,149.9643915581467
802.0,149.96434709259344
803.0,149.9643026270138
804.0,149.9642581614078
805.0,149.96421369577544
806.0,149.9641692301167
807.0,149.9641247644316
808.0,149.96408029872012
809.0,149.9640358329823
810.0,149.96399136721809
811.0,149.9639469014275
812.0,149.96390243561055
813.0,149.96385796976722
814.0,149.96381350389754
815.0,149.9637690380015
816.0,149.96372457207906
817.0,149.96368010613025
818.0,149.9636356401551
819.0,149.96359117415358
820.0,149.96354670812568
821.0,149.9635022420714
822.0,149.96345777599075
823.0,149.96341330988375
824.0,149.96336884375037
825.0,149.96332437759062
826.0,149.9632799114045
827.0,149.963235445192
828.0,149.96319097895315
829.0,149.96314651268793
830.0,149.96310204639633
831.0,149.96305758007836
832.0,149.963013113734
833.0,149.9629686473633
834.0,149.96292418096624
835.0,149.9628797145428
836.0,149.96283524809297
837.0,149.96279078161677
838.0,149.9627463151142
839.0,149.96270184858528
840.0,149.96265738203
841.0,149.96261291544832
842.0,149.96256844884027
843.0,149.96252398220585
844.0,149.96247951554508
845.0,149.96243504885794
846.0,149.96239058214442
847.0,149.96234611540453
848.0,149.96230164863826
849.0,149.96225718184562
850.0,149.96221271502662
851.0,149.96216824818126
852.0,149.96212378130951
853.0,149.9620793144114
854.0,149.9620348474869
855.0,149.96199038053604
856.0,149.96194591355882
857.0,149.96190144655523
858.0,149.96185697952527
859.0,149.96181251246892
860.0,149.9617680453862
861.0,149.96172357827712
862.0,149.96167911114165
863.0,149.96163464397983
864.0,149.96159017679165
865.0,149.96154570957708
866.0,149.96150124233614
867.0,149.96145677506883
868.0,149.96141230777513
869.0,149.9613678404551
870.0,149.96132337310868
871.0,149.9612789057359
872.0,149.96123443833673
873.0,149.9611899709112
874.0,149.96114550345928
875.0,149.961101035981
876.0,149.96105656847632
877.0,149.9610121009453
878.0,149.96096763338792
879.0,149.96092316580416
880.0,149.96087869819402
881.0,149.9608342305575
882.0,149.96078976289462
883.0,149.96074529520536
884.0,149.96070082748972
885.0,149.96065635974773
886.0,149.96061189197937
887.0,149.96056742418463
888.0,149.96052295636352
889.0,149.96047848851603
890.0,149.96043402064217
891.0,149.96038955274193
892.0,149.96034508481532
893.0,149.96030061686233
894.0,149.960256148883
895.0,149.96021168087728
896.0,149.9601672128452
897.0,149.96012274478673
898.0,149.9600782767019
899.0,149.96003380859068
900.0,149.9599893404531
901.0,149.95994487228913
902.0,149.9599004040988
903.0,149.95985593588208
904.0,149.959811467639
905.0,149.95976699936958
906.0,149.95972253107377
907.0,149.95967806275158
908.0,149.95963359440302
909.0,149.95958912602808
910.0,149.95954465762676
911.0,149.95950018919908
912.0,149.959455720745
913.0,149.95941125226457
914.0,149.95936678375776
915.0,149.9593223152246
916.0,149.95927784666506
917.0,149.95923337807915
918.0,149.95918890946686
919.0,149.9591444408282
920.0,149.95909997216316
921.0,149.95905550347175
